class,cap_shape,cap_surface,cap_color,odor,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_color,ring_number,ring_type,spore_print_color,population,habitat
p,x,s,n,p,c,n,k,e,e,s,s,w,w,w,o,p,k,s,u
e,x,s,y,a,c,b,k,e,c,s,s,w,w,w,o,p,n,n,g
e,b,s,w,l,c,b,n,e,c,s,s,w,w,w,o,p,n,n,m
p,x,y,w,p,c,n,n,e,e,s,s,w,w,w,o,p,k,s,u
e,x,s,g,n,w,b,k,t,e,s,s,w,w,w,o,e,n,a,g
e,x,y,y,a,c,b,n,e,c,s,s,w,w,w,o,p,k,n,g
e,b,s,w,a,c,b,g,e,c,s,s,w,w,w,o,p,k,n,m
e,b,y,w,l,c,b,n,e,c,s,s,w,w,w,o,p,n,s,m
p,x,y,w,p,c,n,p,e,e,s,s,w,w,w,o,p,k,v,g
e,b,s,y,a,c,b,g,e,c,s,s,w,w,w,o,p,k,s,m
e,x,y,y,l,c,b,g,e,c,s,s,w,w,w,o,p,n,n,g
e,x,y,y,a,c,b,n,e,c,s,s,w,w,w,o,p,k,s,m
e,b,s,y,a,c,b,w,e,c,s,s,w,w,w,o,p,n,s,g
p,x,y,w,p,c,n,k,e,e,s,s,w,w,w,o,p,n,v,u
e,x,f,n,n,w,b,n,t,e,s,f,w,w,w,o,e,k,a,g
e,s,f,g,n,c,n,k,e,e,s,s,w,w,w,o,p,n,y,u
e,f,f,w,n,w,b,k,t,e,s,s,w,w,w,o,e,n,a,g
p,x,s,n,p,c,n,n,e,e,s,s,w,w,w,o,p,k,s,g
p,x,y,w,p,c,n,n,e,e,s,s,w,w,w,o,p,n,s,u
p,x,s,n,p,c,n,k,e,e,s,s,w,w,w,o,p,n,s,u
